category,identifier,description,active,sourceLink
beauty-health-and-wellbeing,beauty-health-and-wellbeing/skin-care/lip-care,Lip care,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/skin-care/lip-care
beauty-health-and-wellbeing,beauty-health-and-wellbeing/skin-care/treatments,Treatments,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/skin-care/treatments
beauty-health-and-wellbeing,beauty-health-and-wellbeing/hair-care/shampoo,Shampoo,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/hair-care/shampoo
beauty-health-and-wellbeing,beauty-health-and-wellbeing/hair-care/shampoo-bars,Shampoo bars,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/hair-care/shampoo-bars
beauty-health-and-wellbeing,beauty-health-and-wellbeing/hair-care/conditioner,Conditioner,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/hair-care/conditioner
beauty-health-and-wellbeing,beauty-health-and-wellbeing/hair-care/conditioner-bars,Conditioner bars,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/hair-care/conditioner-bars
beauty-health-and-wellbeing,beauty-health-and-wellbeing/hair-care/styling,Styling,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/hair-care/styling
beauty-health-and-wellbeing,beauty-health-and-wellbeing/make-up/face,Face,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/make-up/face
beauty-health-and-wellbeing,beauty-health-and-wellbeing/make-up/eyes,Eyes,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/make-up/eyes
beauty-health-and-wellbeing,beauty-health-and-wellbeing/make-up/tools,Tools,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/make-up/tools
beauty-health-and-wellbeing,beauty-health-and-wellbeing/make-up/nail-polish,Nail polish,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/make-up/nail-polish
beauty-health-and-wellbeing,beauty-health-and-wellbeing/for-men/shaving,Shaving,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/for-men/shaving
beauty-health-and-wellbeing,beauty-health-and-wellbeing/for-men/skin-care,Skin care,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/for-men/skin-care
beauty-health-and-wellbeing,beauty-health-and-wellbeing/for-men/bath-and-shower,Bath and shower,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/for-men/bath-and-shower
beauty-health-and-wellbeing,beauty-health-and-wellbeing/dental-care/toothbrushes,Toothbrushes,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/dental-care/toothbrushes
beauty-health-and-wellbeing,beauty-health-and-wellbeing/dental-care/toothpaste,Toothpaste,FALSE,https://www.ethicalsuperstore.com/category/beauty-health-and-wellbeing/dental-care/toothpaste
